delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,shipment_uid,expected_transit_hours,actual_transit_hours,effective_speed_kmh,sla_variance_hours,is_anomaly_iso,delivery_cost_capped,actual_transit_hours_capped,cost_per_km,cost_per_kg,is_ev,is_adverse_weather,carrier_baseline_reliability,log_delivery_cost,log_distance_km,target_delayed_binary,target_failed_binary,distance_km_standardized,distance_km_minmax,distance_km_robust,package_weight_kg_standardized,package_weight_kg_minmax,package_weight_kg_robust,delivery_cost_standardized,delivery_cost_minmax,delivery_cost_robust,actual_transit_hours_standardized,actual_transit_hours_minmax,actual_transit_hours_robust,cost_per_km_standardized,cost_per_km_minmax,cost_per_km_robust
250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,00:00.0,00:00.0,no,delivered,5,541.44,DEL-IND-00012,48.0,6.13,13.12,-41.87,False,541.44,6.13,6.73,11.65,0,0,0.79,6.2961,4.3994,0,0,-0.81,0.2617,-0.4738,1.4848,0.9378,0.8541,-0.7425,0.29,-0.4365,-0.4681,0.1612,-0.1516,-0.0622,0.0253,0.9231
250.99,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,00:00.0,00:00.0,no,delivered,4,1350.18,DEL-IND-00013,48.0,10.84,23.77,-37.16,False,1350.18,10.84,5.24,65.67,1,1,0.76,7.2087,5.5557,0,0,1.2419,0.8658,0.7161,-0.3192,0.4072,-0.1835,1.1137,0.8162,0.646,0.2189,0.287,0.3935,-0.36,0.0035,-0.4662
250.99,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,00:00.0,00:00.0,yes,failed,1,155.08,DEL-IND-00014,18.0,6.06,3.14,-11.94,False,155.08,6.06,8.16,46.15,0,1,0.76,5.0504,2.9957,1,1,-1.5206,0.0525,-0.8859,-1.5162,0.0551,-0.8721,-1.6292,0.0387,-0.9536,-0.4783,0.1594,-0.1597,0.2236,0.0461,2.2564
250.99,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,00:00.0,00:00.0,no,delivered,3,1263.27,DEL-IND-00015,48.0,12.53,18.99,-35.47,False,1263.27,12.53,5.31,51.37,1,1,0.76,7.1423,5.476,0,0,1.0127,0.7983,0.5832,-0.0387,0.4897,-0.0222,0.9142,0.7596,0.5297,0.4654,0.3321,0.5891,-0.346,0.0045,-0.4009
250.99,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,00:00.0,00:00.0,yes,delayed,3,1281.51,DEL-IND-00016,18.0,18.98,12.61,0.98,False,1281.51,18.98,5.36,109.81,1,0,0.84,7.1566,5.4819,1,0,1.029,0.8031,0.5926,-0.9379,0.2252,-0.5394,0.9561,0.7715,0.5541,1.4063,0.5043,1.3356,-0.336,0.0053,-0.3543
250.99,fedex,documents,bike,standard,west,stormy,79.0,0.73,00:00.0,00:00.0,no,delivered,5,397.19,DEL-IND-00017,72.0,4.26,18.54,-67.74,False,397.19,4.26,5.03,544.1,0,1,0.87,5.9869,4.382,0,0,-0.8262,0.2569,-0.4832,-1.6993,0.0012,-0.9774,-1.0736,0.1962,-0.6296,-0.7409,0.1113,-0.3681,-0.402,0.0004,-0.662
250.99,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,00:00.0,00:00.0,no,delivered,5,990.36,DEL-IND-00018,72.0,8.57,19.92,-63.43,False,990.36,8.57,5.8,21.71,1,1,0.86,6.8991,5.1457,0,0,0.235,0.5693,0.1322,1.4249,0.9202,0.8197,0.2878,0.5821,0.1644,-0.1122,0.2264,0.1308,-0.2481,0.0117,0.0559
250.99,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,00:00.0,00:00.0,no,delivered,3,651.1,DEL-IND-00019,8.0,3.57,25.21,-4.43,False,651.1,3.57,7.23,19.32,0,1,0.84,6.4802,4.5109,0,0,-0.6989,0.2944,-0.4094,0.5953,0.6762,0.3425,-0.4908,0.3614,-0.2897,-0.8415,0.0929,-0.4479,0.0377,0.0326,1.3893
250.99,fedex,cosmetics,truck,express,north,rainy,64.0,6.03,00:00.0,00:00.0,yes,failed,2,388.09,DEL-IND-00020,18.0,19.86,3.22,1.86,False,388.09,19.86,6.06,64.36,0,1,0.87,5.9638,4.1744,1,1,-0.9998,0.2058,-0.5839,-1.3304,0.1097,-0.7652,-1.0944,0.1902,-0.6417,1.5346,0.5278,1.4375,-0.1961,0.0155,0.2984
250.99,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,00:00.0,00:00.0,no,delivered,4,986.8,DEL-IND-00021,48.0,9.43,19.71,-38.57,False,986.8,9.43,5.31,51.66,0,1,0.87,6.8955,5.2306,0,0,0.411,0.6211,0.2342,-0.4208,0.3773,-0.242,0.2797,0.5798,0.1596,0.0133,0.2493,0.2303,-0.346,0.0045,-0.4009
250.99,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,00:00.0,00:00.0,no,delivered,4,1131.74,DEL-IND-00022,48.0,12.24,17.8,-35.76,False,1131.74,12.24,5.19,80.38,0,1,0.85,7.0324,5.3886,0,0,0.7813,0.7302,0.449,-0.7702,0.2745,-0.443,0.6123,0.6741,0.3536,0.4231,0.3243,0.5556,-0.37,0.0028,-0.5128
250.99,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,00:00.0,00:00.0,no,delivered,5,1293.05,DEL-IND-00023,8.0,8.67,24.69,0.67,False,1293.05,8.67,6.04,31.65,0,0,0.86,7.1655,5.3711,0,0,0.7373,0.7172,0.4235,1.093,0.8225,0.6287,0.9826,0.779,0.5695,-0.0976,0.229,0.1424,-0.2001,0.0152,0.2797
250.99,ecom express,clothing,bike,standard,central,clear,251.7,34.9,00:00.0,00:00.0,no,delivered,4,1363.2,DEL-IND-00024,72.0,8.41,29.93,-63.59,False,1363.2,8.41,5.42,39.06,0,0,0.79,7.2183,5.5322,0,0,1.1725,0.8453,0.6758,0.6789,0.7007,0.3905,1.1436,0.8247,0.6634,-0.1355,0.2221,0.1123,-0.324,0.0061,-0.2984
250.99,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,00:00.0,00:00.0,no,delivered,5,1091.51,DEL-IND-00025,72.0,7.13,30.14,-64.87,False,1091.51,7.13,5.08,192.51,0,1,0.84,6.9962,5.3748,0,0,0.7466,0.7199,0.4289,-1.3555,0.1024,-0.7796,0.52,0.6479,0.2998,-0.3222,0.1879,-0.0359,-0.392,0.0012,-0.6154
250.99,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,00:00.0,00:00.0,no,delivered,4,578.59,DEL-IND-00026,48.0,6.32,18.26,-41.68,False,578.59,6.32,5.01,863.57,1,1,0.8,6.3623,4.757,0,0,-0.4049,0.3809,-0.2389,-1.7035,0.0,-0.9798,-0.6572,0.3142,-0.3868,-0.4404,0.1663,-0.1296,-0.4059,0.0001,-0.6807
250.99,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,00:00.0,00:00.0,yes,delayed,3,1632.7206,DEL-IND-00027,18.0,23.55,12.48,5.55,False,1632.720006,23.55,5.56,39.79,1,1,0.85,7.3986,5.6863,1,0,1.6597,0.9888,0.9584,1.1055,0.8262,0.6359,1.7622,1.0,1.0242,2.0729,0.6263,1.8646,-0.296,0.0082,-0.1678
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,00:00.0,00:00.0,no,delivered,3,1574.01,DEL-IND-00028,72.0,11.11,25.81,-60.89,False,1574.01,11.11,5.49,33.73,0,0,0.84,7.362,5.6623,0,0,1.5787,0.9649,0.9114,1.498,0.9417,0.8617,1.6274,0.9618,0.9456,0.2583,0.2942,0.4248,-0.31,0.0072,-0.2331
250.99,fedex,furniture,truck,express,south,hot,136.1,48.1,00:00.0,00:00.0,no,delivered,5,874.8,DEL-IND-00029,18.0,4.25,32.02,-13.75,False,874.8,4.25,6.43,18.19,0,0,0.87,6.7751,4.9207,0,0,-0.1654,0.4514,-0.1,1.5975,0.9709,0.9189,0.0226,0.5069,0.0097,-0.7423,0.1111,-0.3692,-0.1222,0.0209,0.6434
250.99,dhl,furniture,bike,two day,east,rainy,291.4,6.12,00:00.0,00:00.0,no,delivered,5,1475.36,DEL-IND-00030,48.0,12.35,23.6,-35.65,False,1475.36,12.35,5.06,241.07,0,1,0.85,7.2973,5.6781,0,0,1.6319,0.9806,0.9423,-1.3242,0.1116,-0.7616,1.401,0.8976,0.8136,0.4392,0.3273,0.5683,-0.396,0.0009,-0.634
250.99,fedex,furniture,bike,standard,south,hot,295.0,19.68,00:00.0,00:00.0,no,delivered,5,1534.04,DEL-IND-00031,72.0,10.8,27.31,-61.2,False,1534.04,10.8,5.2,77.95,0,0,0.87,7.3363,5.6904,0,0,1.6736,0.9928,0.9664,-0.3804,0.3892,-0.2188,1.5357,0.9358,0.8921,0.2131,0.2859,0.3889,-0.368,0.0029,-0.5035
250.99,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,00:00.0,00:00.0,yes,failed,1,1235.37,DEL-IND-00032,8.0,11.64,19.18,3.64,False,1235.37,11.64,5.53,196.4,0,1,0.82,7.1199,5.413,1,1,0.8438,0.7486,0.4852,-1.3123,0.115,-0.7548,0.8502,0.7415,0.4923,0.3356,0.3083,0.4861,-0.302,0.0077,-0.1958
250.99,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,00:00.0,00:00.0,yes,failed,1,1402.69,DEL-IND-00033,18.0,16.27,14.9,-1.73,False,1402.69,16.27,5.78,30.02,0,0,0.88,7.2469,5.4951,1,1,1.066,0.814,0.6141,1.5022,0.9429,0.8641,1.2342,0.8503,0.7163,1.011,0.4319,1.022,-0.2521,0.0114,0.0373
250.99,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,00:00.0,00:00.0,no,delivered,5,243.66,DEL-IND-00034,48.0,5.15,6.82,-42.85,False,243.66,5.15,6.94,10.72,1,1,0.87,5.4999,3.5863,0,0,-1.3343,0.1073,-0.7779,-0.1688,0.4514,-0.0971,-1.4259,0.0963,-0.8351,-0.611,0.1351,-0.265,-0.0202,0.0283,1.1189
250.99,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,00:00.0,00:00.0,yes,delayed,2,595.53,DEL-IND-00035,18.0,15.43,5.3,-2.57,False,595.53,15.43,7.28,13.09,0,1,0.84,6.3911,4.4164,1,0,-0.7938,0.2664,-0.4644,1.4173,0.9179,0.8153,-0.6183,0.3252,-0.3641,0.8885,0.4095,0.9248,0.0477,0.0333,1.4359
250.99,delhivery,documents,bike,same day,east,clear,37.6,22.81,00:00.0,00:00.0,no,delivered,4,356.43,DEL-IND-00036,8.0,3.16,11.9,-4.84,False,356.43,3.16,9.48,15.63,0,0,0.88,5.8789,3.6533,0,0,-1.3053,0.1158,-0.7611,-0.1626,0.4532,-0.0935,-1.1671,0.1697,-0.6841,-0.9013,0.082,-0.4954,0.4874,0.0654,3.4872
250.99,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,00:00.0,00:00.0,yes,delayed,2,298.16,DEL-IND-00037,18.0,11.27,4.15,-6.73,False,298.16,11.27,6.37,63.17,1,1,0.84,5.701,3.867,1,0,-1.1989,0.1472,-0.6993,-1.4216,0.0829,-0.8177,-1.3008,0.1317,-0.7621,0.2817,0.2985,0.4433,-0.1342,0.02,0.5874
250.99,amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,00:00.0,00:00.0,no,delivered,5,1321.0,DEL-IND-00038,8.0,8.88,26.28,0.88,False,1321.0,8.88,5.66,73.39,0,0,0.84,7.1869,5.457,0,0,0.9607,0.783,0.553,-0.4973,0.3548,-0.286,1.0467,0.7972,0.607,-0.067,0.2347,0.1667,-0.276,0.0096,-0.0746
250.99,ekart,documents,bike,standard,east,rainy,62.2,48.58,00:00.0,00:00.0,no,delivered,3,456.74,DEL-IND-00039,72.0,4.01,15.51,-67.99,False,456.74,4.01,7.34,9.4,0,1,0.82,6.1263,4.1463,0,0,-1.0206,0.1997,-0.596,1.631,0.9808,0.9382,-0.9369,0.2349,-0.5498,-0.7773,0.1046,-0.397,0.0597,0.0342,1.4918
250.99,shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,00:00.0,00:00.0,no,delivered,4,701.55,DEL-IND-00040,72.0,5.45,20.92,-66.55,False,701.55,5.45,6.15,16.0,1,1,0.8,6.5547,4.7449,0,0,-0.4211,0.3761,-0.2483,1.3018,0.8839,0.7488,-0.375,0.3942,-0.2222,-0.5673,0.1431,-0.2303,-0.1781,0.0168,0.3823
250.99,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,00:00.0,00:00.0,no,delivered,5,834.87,DEL-IND-00041,8.0,5.64,23.32,-2.36,False,834.87,5.64,6.35,32.37,1,1,0.86,6.7285,4.8866,0,0,-0.2186,0.4358,-0.1309,0.0448,0.5142,0.0258,-0.069,0.4809,-0.0437,-0.5396,0.1482,-0.2083,-0.1382,0.0197,0.5688
250.99,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,00:00.0,00:00.0,yes,delayed,3,206.74,DEL-IND-00042,18.0,6.15,3.48,-11.85,False,206.74,6.15,9.66,12.47,1,1,0.76,5.3363,3.1091,1,0,-1.4928,0.0606,-0.8698,-0.5962,0.3257,-0.3429,-1.5107,0.0723,-0.8845,-0.4652,0.1618,-0.1493,0.5233,0.068,3.655
250.99,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,00:00.0,00:00.0,no,delivered,5,1317.61,DEL-IND-00043,72.0,8.95,28.88,-63.05,False,1317.61,8.95,5.1,157.42,0,1,0.76,7.1843,5.5588,0,0,1.2512,0.8685,0.7215,-1.1676,0.1576,-0.6715,1.0389,0.795,0.6024,-0.0567,0.2365,0.1748,-0.388,0.0015,-0.5967
250.99,dhl,furniture,van,two day,east,rainy,253.9,7.07,00:00.0,00:00.0,no,delivered,3,1290.71,DEL-IND-00044,48.0,11.04,23.0,-36.96,False,1290.71,11.04,5.08,182.56,0,1,0.85,7.1637,5.5409,0,0,1.1979,0.8528,0.6906,-1.258,0.131,-0.7236,0.9772,0.7775,0.5664,0.2481,0.2923,0.4167,-0.392,0.0012,-0.6154
250.99,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,00:00.0,00:00.0,no,delivered,4,157.38,DEL-IND-00045,8.0,0.71,9.44,-7.29,False,157.38,0.71,23.49,19.77,1,1,0.88,5.065,2.0412,0,0,-1.6629,0.0106,-0.9685,-1.1961,0.1492,-0.688,-1.624,0.0401,-0.9505,-1.2587,0.0166,-0.7789,3.2872,0.27,16.5501
250.99,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,00:00.0,00:00.0,no,delivered,4,970.6,DEL-IND-00046,72.0,7.54,23.62,-64.46,False,970.6,7.54,5.45,36.35,1,0,0.79,6.8789,5.1879,0,0,0.3207,0.5945,0.1819,0.1082,0.5329,0.0622,0.2425,0.5692,0.138,-0.2624,0.1989,0.0116,-0.318,0.0066,-0.2704
250.99,fedex,cosmetics,truck,standard,south,hot,180.0,35.04,00:00.0,00:00.0,no,delivered,3,1005.12,DEL-IND-00047,72.0,4.65,38.71,-67.35,False,1005.12,4.65,5.58,28.68,0,0,0.87,6.9139,5.1985,0,0,0.3427,0.601,0.1946,0.6886,0.7036,0.3961,0.3217,0.5917,0.1842,-0.684,0.1217,-0.3229,-0.292,0.0085,-0.1492
250.99,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,00:00.0,00:00.0,no,delivered,4,984.38,DEL-IND-00048,48.0,9.94,18.9,-38.06,False,984.38,9.94,5.24,65.8,0,1,0.79,6.893,5.2412,0,0,0.4341,0.6279,0.2477,-0.7089,0.2925,-0.4077,0.2741,0.5782,0.1564,0.0877,0.2629,0.2894,-0.36,0.0035,-0.4662
250.99,xpressbees,documents,ev van,express,west,hot,78.3,49.22,00:00.0,00:00.0,yes,failed,1,589.16,DEL-IND-00049,18.0,19.67,3.98,1.67,False,589.16,19.67,7.52,11.97,1,0,0.76,6.3804,4.3732,1,1,-0.8343,0.2545,-0.4879,1.6755,0.9939,0.9638,-0.633,0.3211,-0.3726,1.5069,0.5227,1.4155,0.0957,0.0368,1.6597
250.99,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,00:00.0,00:00.0,no,delivered,4,378.35,DEL-IND-00050,18.0,2.05,25.17,-15.95,False,378.35,2.05,7.33,16.13,1,0,0.84,5.9385,3.9627,0,0,-1.1433,0.1635,-0.6671,-0.118,0.4663,-0.0679,-1.1168,0.1839,-0.6548,-1.0632,0.0523,-0.6238,0.0577,0.034,1.4825
250.99,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,00:00.0,00:00.0,no,delivered,5,324.08,DEL-IND-00051,8.0,5.23,5.14,-2.77,False,324.08,5.23,12.05,10.85,1,1,0.76,5.7841,3.3286,0,0,-1.4292,0.0794,-0.8329,0.3281,0.5975,0.1888,-1.2414,0.1486,-0.7274,-0.5994,0.1372,-0.2558,1.001,0.1029,5.8834
250.99,blue dart,clothing,truck,express,north,hot,216.7,26.89,00:00.0,00:00.0,yes,delayed,2,1214.17,DEL-IND-00052,18.0,18.06,12.0,0.06,False,1214.17,18.06,5.6,45.15,0,0,0.86,7.1026,5.3831,1,0,0.7674,0.7261,0.4409,0.1214,0.5367,0.0699,0.8015,0.7277,0.464,1.2721,0.4797,1.2292,-0.288,0.0088,-0.1305
250.99,dhl,electronics,van,standard,south,foggy,148.2,38.6,00:00.0,00:00.0,no,delivered,4,856.8,DEL-IND-00053,72.0,7.78,19.05,-64.22,False,856.8,7.78,5.78,22.2,0,1,0.85,6.7544,5.0053,0,0,-0.0253,0.4927,-0.0188,0.9364,0.7765,0.5386,-0.0187,0.4952,-0.0144,-0.2274,0.2053,0.0394,-0.2521,0.0114,0.0373
250.99,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,00:00.0,00:00.0,no,delivered,4,1161.37,DEL-IND-00054,8.0,7.31,25.2,-0.69,False,1161.37,7.31,6.3,24.82,1,0,0.87,7.0582,5.2214,0,0,0.3913,0.6153,0.2228,1.5064,0.9441,0.8665,0.6803,0.6933,0.3933,-0.296,0.1927,-0.015,-0.1481,0.019,0.5221
250.99,fedex,groceries,truck,same day,east,stormy,167.7,42.4,00:00.0,00:00.0,no,delivered,5,1065.7,DEL-IND-00055,8.0,6.87,24.41,-1.13,False,1065.7,6.87,6.35,25.13,0,1,0.87,6.9723,5.1281,0,0,0.2003,0.5591,0.1121,1.2008,0.8542,0.6908,0.4608,0.6311,0.2652,-0.3601,0.181,-0.066,-0.1382,0.0197,0.5688
250.99,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,00:00.0,00:00.0,no,delivered,5,1066.02,DEL-IND-00056,72.0,10.18,19.42,-61.82,False,1066.02,10.18,5.39,41.25,1,0,0.88,6.9726,5.2918,0,0,0.5475,0.6613,0.3134,0.0483,0.5153,0.0278,0.4615,0.6313,0.2657,0.1227,0.2694,0.3171,-0.33,0.0057,-0.3263
250.99,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,00:00.0,00:00.0,no,delivered,5,1200.32,DEL-IND-00057,72.0,6.73,31.49,-65.27,False,1200.32,6.73,5.66,25.57,1,1,0.87,7.0912,5.3608,0,0,0.7119,0.7097,0.4087,1.5168,0.9472,0.8725,0.7697,0.7187,0.4454,-0.3806,0.1773,-0.0822,-0.276,0.0096,-0.0746
250.99,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,00:00.0,00:00.0,no,delivered,5,484.65,DEL-IND-00058,8.0,3.82,16.83,-4.18,False,484.65,3.82,7.54,23.02,0,1,0.86,6.1855,4.179,0,0,-0.9963,0.2068,-0.5819,-0.2851,0.4172,-0.1639,-0.8728,0.2531,-0.5125,-0.805,0.0996,-0.419,0.0997,0.0371,1.6783
250.99,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,00:00.0,00:00.0,no,delivered,4,1045.11,DEL-IND-00059,48.0,7.81,26.47,-40.19,False,1045.11,7.81,5.06,270.05,0,0,0.76,6.9528,5.3361,0,0,0.6517,0.692,0.3738,-1.4807,0.0655,-0.8517,0.4135,0.6177,0.2377,-0.223,0.2061,0.0428,-0.396,0.0009,-0.634
250.99,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,00:00.0,00:00.0,no,delivered,5,437.93,DEL-IND-00060,48.0,3.29,25.38,-44.71,False,437.93,3.29,5.24,64.31,0,0,0.76,6.0843,4.4368,0,0,-0.7741,0.2722,-0.453,-1.2761,0.1257,-0.734,-0.9801,0.2227,-0.575,-0.8823,0.0854,-0.4803,-0.36,0.0035,-0.4662
250.99,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,00:00.0,00:00.0,no,delivered,5,289.36,DEL-IND-00061,8.0,0.85,10.94,-7.15,False,289.36,0.85,31.11,6.08,0,1,0.79,5.6711,2.3321,0,0,-1.6328,0.0194,-0.951,1.5641,0.9611,0.8997,-1.321,0.126,-0.7739,-1.2382,0.0203,-0.7627,4.81,0.3812,23.655
250.99,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,00:00.0,00:00.0,no,delivered,3,1370.53,DEL-IND-00062,72.0,11.45,21.48,-60.55,False,1370.53,11.45,5.57,29.15,1,1,0.76,7.2237,5.509,0,0,1.1053,0.8256,0.6369,1.5217,0.9486,0.8753,1.1604,0.8294,0.6733,0.3079,0.3033,0.4641,-0.294,0.0083,-0.1585
250.99,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,00:00.0,00:00.0,yes,delayed,2,1315.6,DEL-IND-00063,18.0,24.26,9.3,6.26,False,1315.6,24.26,5.83,28.79,1,1,0.85,7.1828,5.4236,1,0,0.8716,0.7567,0.5013,1.4305,0.9218,0.8229,1.0343,0.7937,0.5997,2.1764,0.6452,1.9468,-0.2421,0.0121,0.0839
250.99,ecom express,pharmacy,bike,express,east,hot,226.0,37.62,00:00.0,00:00.0,yes,delayed,2,1292.86,DEL-IND-00064,18.0,12.89,17.53,-5.11,False,1292.86,12.89,5.72,34.37,0,0,0.79,7.1654,5.425,1,0,0.875,0.7578,0.5034,0.8682,0.7564,0.4994,0.9821,0.7789,0.5693,0.518,0.3417,0.6308,-0.2641,0.0105,-0.0186
